2316.jpeg 0.7595 0.9402 0.6757 0.6283 0.9084 1.1371 0.8316 0.9147 0.6009 0.5112 0.9299 1.4522 0.7960 0.6728 1.0385 0.9707 0.7988 0.6183 0.6440 0.4977 0.7444 0.4322 0.8243 0.3577 1.4893 1.5697 0.9790 0.8537 0.6163 0.3004 
2317.jpeg 0.5727 0.8922 0.3810 0.2819 0.6137 0.7501 0.5414 0.5127 0.3450 0.2564 0.6747 0.9538 0.4894 0.3180 0.6947 0.5984 0.5650 0.4311 0.4277 0.2752 0.7959 1.0824 0.5997 0.1803 0.9562 0.7446 0.7178 0.5893 0.4343 0.2101 
2318.jpeg 0.4533 0.5619 0.3188 0.2649 0.5587 0.9742 0.5516 1.0214 0.2793 0.2140 0.5748 0.8314 0.4242 0.3365 0.4865 0.3809 0.4529 0.3756 0.3326 0.2787 0.7709 0.6379 0.6869 0.4333 0.7086 0.4006 0.6244 0.5237 0.4541 0.2875 
2674.jpeg 0.5272 0.4747 0.4599 0.4467 0.6234 0.9445 0.5713 0.7834 0.3354 0.2180 0.6658 0.6739 0.6522 0.6165 0.8398 1.0510 0.7173 0.8545 0.3649 0.1873 1.0164 0.8369 1.0963 1.0323 1.1533 0.8387 0.9543 0.9902 0.5072 0.2359 
2675.jpeg 0.8290 0.8297 0.7148 0.6979 0.8901 1.1751 0.8590 1.0731 0.6233 0.5385 0.9570 0.9258 0.7717 0.5747 0.8870 0.9348 0.8132 0.8393 0.5729 0.3596 1.2966 1.2824 1.1162 1.3513 1.0020 0.6647 0.7815 0.6001 0.5988 0.2722 
2676.jpeg 0.5994 0.4756 0.3761 0.2141 0.5804 0.6273 0.5873 0.7402 0.3269 0.1706 0.7225 0.4763 0.5498 0.3486 0.7457 0.8430 0.7586 0.9942 0.3763 0.1554 0.9689 0.5480 1.0201 0.9321 1.1233 1.0351 0.8703 0.7640 0.4675 0.1611 
2677.jpeg 0.5404 0.4297 0.4866 0.4805 0.6831 1.1268 0.6220 0.8728 0.3650 0.2150 0.6816 0.6543 0.6603 0.6755 0.9204 1.4692 0.7927 1.0682 0.3654 0.1781 1.0175 0.7113 1.0928 1.1444 1.2698 1.1727 1.0151 1.1313 0.5361 0.2227 
2678.jpeg 0.6082 0.9874 0.4757 0.5987 0.9460 2.1371 1.0646 2.7258 0.3968 0.4046 0.7954 1.3412 0.6376 0.8220 1.4332 3.6352 1.4274 4.4257 0.4367 0.3517 1.0680 1.1501 1.1543 1.6953 2.7596 7.3802 2.0339 5.1649 0.6056 0.4573 
3050.jpeg 0.9021 0.7121 1.0545 0.9097 1.5121 1.6173 1.4221 1.2303 1.0654 0.9239 1.0365 0.8579 1.0875 0.8531 1.5264 1.2783 1.3704 0.9715 1.0556 0.8087 1.2101 0.7746 1.2838 0.8768 1.7566 1.2862 1.5636 1.5198 1.1786 0.8349 
3051.jpeg 0.7825 0.5872 1.0228 0.8146 1.3715 1.2927 1.1967 1.0088 0.8784 0.6235 0.8478 0.7430 1.0693 0.7419 1.4555 1.2290 1.1494 0.7037 0.7774 0.4304 0.9897 0.6453 1.3330 0.7420 1.6197 1.1225 1.1834 0.4949 0.9001 0.3910 
