4245.jpeg 113.7000 17.6019 61.1077 1651.5220 144.8958 292.0238 51.1928 -143.1193 -163.0417 
4246.jpeg 115.6622 4.9745 67.0763 1796.3496 8.3098 27.0857 -47.5703 5.0136 -75.5332 
4258.jpeg 83.0029 10.0330 66.8692 3682.6067 17.3522 88.6610 53.1786 -5.9572 -35.4199 
4259.jpeg 111.9383 18.0380 77.6734 1143.2996 22.1564 82.2222 -53.3343 -26.2384 39.1231 
426.jpeg 78.5315 22.0929 76.9179 2111.4446 89.2951 187.0631 -31.1344 -82.3137 72.7473 
4271.jpeg 95.9793 23.3441 77.5951 1182.7955 29.6559 60.4737 7.7140 -18.4983 25.1653 
4272.jpeg 143.3357 20.4584 79.2846 1466.5106 24.3556 65.3823 22.7795 7.0455 -126.9365 
4273.jpeg 106.4183 18.4380 76.0768 1282.0396 37.7791 108.3709 131.1919 32.3159 257.2671 
4285.jpeg 123.9196 14.7593 75.9006 1259.4200 38.4874 210.3125 13.6759 24.2526 52.1533 
4286.jpeg 125.4075 14.8697 74.0711 1202.1058 39.0761 224.6370 32.4677 24.4949 105.0164 
4287.jpeg 84.3270 11.9104 66.7351 3197.9443 67.0433 450.6322 -6.8958 -18.0608 471.7669 
